item,period,amount
Mark-to-market,2023-05-01 00:00:00.000 UTC,-104258.13969628637
Mark-to-market,2023-12-01 00:00:00.000 UTC,4.6592242091268e+06
Mark-to-market,2023-04-01 00:00:00.000 UTC,889199.2744749049
Mark-to-market,2023-02-01 00:00:00.000 UTC,2.0962427592333497
Mark-to-market,2023-01-01 00:00:00.000 UTC,1.9117032284809652
Mark-to-market,2023-06-01 00:00:00.000 UTC,558872.3998461042
Mark-to-market,2024-01-01 00:00:00.000 UTC,26593.007291022295
Mark-to-market,2023-11-01 00:00:00.000 UTC,5.730881352087226e+06
Mark-to-market,2023-10-01 00:00:00.000 UTC,4.1868239283070797e+06
Mark-to-market,2023-03-01 00:00:00.000 UTC,3.794327404254716e+06
Mark-to-market,2023-08-01 00:00:00.000 UTC,-1.9356446165536267e+06
Mark-to-market,2023-09-01 00:00:00.000 UTC,242210.607784015
Mark-to-market,2023-07-01 00:00:00.000 UTC,-709601.1185202961
Mark-to-market,2024-02-01 00:00:00.000 UTC,1.3382894693563767e+07
Invest P&L,2023-10-01 00:00:00.000 UTC,99367.43037036186
Invest P&L,2023-01-01 00:00:00.000 UTC,0.7541580526496273
Invest P&L,2023-02-01 00:00:00.000 UTC,0.08890126470814891
Invest P&L,2023-12-01 00:00:00.000 UTC,241494.78810603882
Invest P&L,2024-01-01 00:00:00.000 UTC,152835.64336647163
Invest P&L,2024-02-01 00:00:00.000 UTC,178545.10146196172
Invest P&L,2023-09-01 00:00:00.000 UTC,80092.478546963
Invest P&L,2023-08-01 00:00:00.000 UTC,88536.50836928199
Invest P&L,2023-04-01 00:00:00.000 UTC,69420.5294296102
Invest P&L,2023-07-01 00:00:00.000 UTC,80066.2976071353
Invest P&L,2023-03-01 00:00:00.000 UTC,31255.529775062816
Invest P&L,2023-11-01 00:00:00.000 UTC,154226.9261548462
Invest P&L,2023-06-01 00:00:00.000 UTC,84486.9207572171
Invest P&L,2023-05-01 00:00:00.000 UTC,89622.02462055947
Swaps,2023-12-01 00:00:00.000 UTC,30769.4216829082
Swaps,2023-02-01 00:00:00.000 UTC,<nil>
Swaps,2023-07-01 00:00:00.000 UTC,90.34697744363439
Swaps,2023-10-01 00:00:00.000 UTC,<nil>
Swaps,2023-08-01 00:00:00.000 UTC,<nil>
Swaps,2023-06-01 00:00:00.000 UTC,238.87438333337923
Swaps,2024-02-01 00:00:00.000 UTC,<nil>
Swaps,2023-04-01 00:00:00.000 UTC,65578.30554099986
Swaps,2023-11-01 00:00:00.000 UTC,-176.58665620214015
Swaps,2023-03-01 00:00:00.000 UTC,20833.391816999996
Swaps,2023-05-01 00:00:00.000 UTC,<nil>
Swaps,2023-09-01 00:00:00.000 UTC,<nil>
Swaps,2023-01-01 00:00:00.000 UTC,-0.044325069590078314
Swaps,2024-01-01 00:00:00.000 UTC,-18813.637085509952
